,time,solar_effect,room_temp,ambient_temp,heating_setpoint,cooling_setpoint,occupancy_effect
150,2025-03-11 02:31:00+00:00,7.538159179530001,26.22,3.5,20.5,24.5,0.0
151,2025-03-11 02:32:00+00:00,7.538159179530001,26.22666666666667,3.5,20.5,24.5,0.0
152,2025-03-11 02:33:00+00:00,7.538159179530001,26.22,3.5,20.5,24.5,0.0
153,2025-03-11 02:34:00+00:00,7.538159179530001,26.226666666666667,3.5,20.5,24.5,0.0
154,2025-03-11 02:35:00+00:00,7.538159179530001,26.219999999999995,3.5,20.5,24.5,0.0
155,2025-03-11 02:36:00+00:00,7.538159179530001,26.23333333333333,3.5,20.5,24.5,0.0
156,2025-03-11 02:37:00+00:00,7.538159179530001,26.23333333333333,3.5,20.5,24.5,0.0
157,2025-03-11 02:38:00+00:00,7.538159179530001,26.23333333333333,3.5,20.5,24.5,0.0
158,2025-03-11 02:39:00+00:00,7.538159179530001,26.23333333333333,3.5,20.5,24.5,0.0
159,2025-03-11 02:40:00+00:00,7.538159179530001,26.24666666666667,3.5,20.5,24.5,0.0
160,2025-03-11 02:41:00+00:00,7.538159179530001,26.24,3.5,20.5,24.5,0.0
161,2025-03-11 02:42:00+00:00,7.538159179530001,26.24666666666667,3.5,20.5,24.5,0.0
162,2025-03-11 02:43:00+00:00,7.538159179530001,26.23333333333333,3.5,20.5,24.5,0.0
163,2025-03-11 02:44:00+00:00,7.538159179530001,26.23333333333333,3.5,20.5,24.5,0.0
164,2025-03-11 02:45:00+00:00,7.538159179530001,26.23333333333333,3.5,20.5,24.5,0.0
165,2025-03-11 02:46:00+00:00,7.538159179530001,26.24,3.5,20.5,24.5,0.0
166,2025-03-11 02:47:00+00:00,7.538159179530001,26.23333333333333,3.5,20.5,24.5,0.0
167,2025-03-11 02:48:00+00:00,7.538159179530001,26.24,3.5,20.5,24.5,0.0
168,2025-03-11 02:49:00+00:00,7.538159179530001,26.24666666666667,3.5,20.5,24.5,0.0
169,2025-03-11 02:50:00+00:00,7.538159179530001,26.24,3.5,20.5,24.5,0.0
170,2025-03-11 02:51:00+00:00,7.538159179530001,26.24,3.5,20.5,24.5,0.0
171,2025-03-11 02:52:00+00:00,7.538159179530001,26.23333333333333,3.5,20.5,24.5,0.0
172,2025-03-11 02:53:00+00:00,7.538159179530001,26.226666666666667,3.5,20.5,24.5,0.0
173,2025-03-11 02:54:00+00:00,7.538159179530001,26.22,3.5,20.5,24.5,0.0
174,2025-03-11 02:55:00+00:00,7.538159179530001,26.21333333333333,3.5,20.5,24.5,0.0
175,2025-03-11 02:56:00+00:00,7.538159179530001,26.21333333333333,3.5,20.5,24.5,0.0
176,2025-03-11 02:57:00+00:00,7.538159179530001,26.206666666666663,3.5,20.5,24.5,0.0
177,2025-03-11 02:58:00+00:00,7.538159179530001,26.22666666666667,3.5,20.5,24.5,0.0
178,2025-03-11 02:59:00+00:00,7.538159179530001,26.22,3.5,20.5,24.5,0.0
179,2025-03-11 03:00:00+00:00,7.538159179530001,26.22,3.5,20.5,24.5,0.0
