,time,solar_watt,room_temp,ambient_temp,heating_setpoint,cooling_setpoint,lux,wind,heater_valve,ventilation_supply_damper
161,2025-02-25 02:41:00+00:00,4.1783447266,21.1,5.7,21.0,25.0,4.0767636299,3.6338310242,0.0,0.0
162,2025-02-25 02:42:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.0890965462,3.6338310242,0.0,0.0
163,2025-02-25 02:43:00+00:00,4.1783447266,21.3,5.7,21.0,25.0,4.0974850655,2.6183738708,0.0,0.0
164,2025-02-25 02:44:00+00:00,4.1783447266,21.1,5.7,21.0,25.0,4.0716762543,2.6183738708,0.0,0.0
165,2025-02-25 02:45:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.0642595291,2.6183738708,0.0,0.0
166,2025-02-25 02:46:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.0459485054,2.6183738708,0.0,0.0
167,2025-02-25 02:47:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.0784006119,2.6183738708,0.0,0.0
168,2025-02-25 02:48:00+00:00,4.1783447266,21.3,5.7,21.0,25.0,4.0595493317,2.6183738708,0.0,0.0
169,2025-02-25 02:49:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.0376834869,2.6183738708,0.0,0.0
170,2025-02-25 02:50:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.0172142982,2.6183738708,0.0,0.0
171,2025-02-25 02:51:00+00:00,4.1783447266,21.3,5.7,21.0,25.0,4.0605759621,2.6183738708,0.0,0.0
172,2025-02-25 02:52:00+00:00,4.1783447266,21.1,5.7,21.0,25.0,4.0576291084,2.6183738708,0.0,0.0
173,2025-02-25 02:53:00+00:00,4.1783447266,21.1,5.7,21.0,25.0,4.0925731659,2.6183738708,0.0,0.0
174,2025-02-25 02:54:00+00:00,4.1783447266,21.3,5.7,21.0,25.0,4.1045336723,2.6183738708,0.0,0.0
175,2025-02-25 02:55:00+00:00,4.1783447266,21.2,5.7,21.0,25.0,4.0719470978,2.6183738708,0.0,0.0
176,2025-02-25 02:56:00+00:00,4.1783447266,21.3,5.7,21.0,25.0,4.0459561348,2.6183738708,0.0,0.0
